global_step,perplexity,eval_loss,train_loss
2000,tensor(17.1737),2.8433812141418455,2.8553295135498047
4000,tensor(10.2702),2.3292442162831626,2.409061908721924
6000,tensor(9.9012),2.2926525592803957,2.29394793510437
8000,tensor(9.7998),2.2823647340138753,2.3002569675445557
10000,tensor(9.7896),2.281317774454753,2.2917771339416504
11327,tensor(9.5647),2.258080832163493,2.216649293899536
12000,tensor(9.6348),2.265382687250773,2.173503875732422
14000,tensor(9.3548),2.235886319478353,2.231421709060669
16000,tensor(9.4914),2.2503889719645183,2.243340253829956
18000,tensor(9.3059),2.2306533813476563,2.3091039657592773
20000,tensor(9.0103),2.19836319287618,2.231762170791626
22000,tensor(7.4729),2.011281887690226,2.039586067199707
22654,tensor(7.1083),1.961264181137085,2.0610039234161377
24000,tensor(4.3907),1.4794893900553385,1.6575661897659302
26000,tensor(3.1951),1.1616257270177206,1.3875093460083008
28000,tensor(2.3662),0.8613019665082295,0.9824724197387695
30000,tensor(1.9659),0.6759610931078593,0.7320595383644104
32000,tensor(1.7249),0.5451900660991669,0.746959388256073
33981,tensor(1.6088),0.4755004048347473,0.5871577858924866
34000,tensor(1.5991),0.46945048371950787,0.5599728226661682
36000,tensor(1.4926),0.4004954040050507,0.44527527689933777
38000,tensor(1.3948),0.3327838142712911,0.36738088726997375
40000,tensor(1.3376),0.29088213443756106,0.3972178101539612
42000,tensor(1.3077),0.2682398557662964,0.37800925970077515
44000,tensor(1.2894),0.25416307349999745,0.2799617052078247
45308,tensor(1.2758),0.2435845156510671,0.24142016470432281
46000,tensor(1.2755),0.24332549472649892,0.24752123653888702
48000,tensor(1.2421),0.21683149337768554,0.30102360248565674
50000,tensor(1.2293),0.20644122858842215,0.22917386889457703
52000,tensor(1.2189),0.1979416072368622,0.23220153152942657
54000,tensor(1.2038),0.1854687680800756,0.25177648663520813
56000,tensor(1.1971),0.1799312114715576,0.2498159557580948
56635,tensor(1.1916),0.17527395685513814,0.2613621950149536
58000,tensor(1.2000),0.18228723605473837,0.2118237316608429
60000,tensor(1.1765),0.16251623928546904,0.21430851519107819
62000,tensor(1.1624),0.15044744163751603,0.15603689849376678
64000,tensor(1.1582),0.14689603050549824,0.17659695446491241
66000,tensor(1.1642),0.15206864873568218,0.1690858006477356
67962,tensor(1.1571),0.1459341178337733,0.17266534268856049
68000,tensor(1.1483),0.13825709074735643,0.16035763919353485
70000,tensor(1.1538),0.143020898103714,0.15908245742321014
72000,tensor(1.1516),0.14119069278240204,0.20526354014873505
74000,tensor(1.1384),0.12962874869505564,0.16874776780605316
76000,tensor(1.1408),0.13174981772899627,0.17855395376682281
78000,tensor(1.1447),0.1351222152511279,0.17776496708393097
79289,tensor(1.1375),0.1288530687491099,0.1708654910326004
80000,tensor(1.1435),0.13410465270280839,0.13248053193092346
82000,tensor(1.1336),0.12538455575704574,0.15740622580051422
84000,tensor(1.1326),0.12451005528370539,0.14412496984004974
86000,tensor(1.1295),0.12174079865217209,0.1419229507446289
88000,tensor(1.1141),0.10803920278946559,0.14599919319152832
90000,tensor(1.1239),0.11684017529090246,0.14262771606445312
90616,tensor(1.1141),0.10806881288687388,0.12276460230350494
92000,tensor(1.1282),0.12064016908407212,0.15532736480236053
94000,tensor(1.1175),0.11113481322924296,0.14379140734672546
96000,tensor(1.1158),0.10959318478902182,0.11444593966007233
98000,tensor(1.1198),0.11317528237899145,0.12942057847976685
100000,tensor(1.1186),0.11209069192409515,0.1557980328798294
101943,tensor(1.1225),0.11551646043856939,0.1304573118686676
102000,tensor(1.1181),0.11163737326860428,0.13365685939788818
104000,tensor(1.1182),0.1117190107703209,0.15732477605342865
106000,tensor(1.1102),0.10455089857180913,0.11027078330516815
108000,tensor(1.1043),0.09925538500150045,0.16282694041728973
110000,tensor(1.0993),0.09465554207563401,0.13238906860351562
112000,tensor(1.1030),0.0980473816394806,0.17928971350193024
113270,tensor(1.1001),0.09539032777150472,0.14411908388137817
114000,tensor(1.1049),0.09975644052028657,0.16735973954200745
116000,tensor(1.0979),0.09339619129896164,0.13748908042907715
118000,tensor(1.1093),0.10368640472491582,0.101732037961483
120000,tensor(1.1108),0.10510191470384597,0.1224515363574028
122000,tensor(1.0962),0.09188383768002192,0.10152030736207962
124000,tensor(1.0998),0.09510062014063199,0.10119170695543289
124597,tensor(1.1044),0.09933602338035902,0.11728020012378693
126000,tensor(1.0989),0.0942981814344724,0.13047794997692108
128000,tensor(1.1019),0.09702105671167374,0.10888052731752396
130000,tensor(1.1025),0.09755538205305735,0.09486304223537445
132000,tensor(1.0984),0.09389256983995438,0.09505803138017654
134000,tensor(1.1000),0.09533848116795222,0.11332415789365768
135924,tensor(1.0944),0.09022640784581502,0.12455528974533081
136000,tensor(1.1022),0.09727897395690283,0.1071540117263794
138000,tensor(1.0899),0.08610013648867607,0.10920757055282593
140000,tensor(1.0881),0.0844651368757089,0.11463207006454468
142000,tensor(1.0938),0.08969395458698273,0.10632039606571198
144000,tensor(1.0881),0.08447789450486501,0.13171276450157166
146000,tensor(1.0853),0.08186965311566989,0.13555505871772766
147251,tensor(1.0988),0.09417424077788988,0.10660190135240555
148000,tensor(1.0847),0.08132272660732269,0.10015562176704407
150000,tensor(1.0922),0.0881943183640639,0.1081809401512146
152000,tensor(1.0902),0.08636766796310742,0.09092758595943451
154000,tensor(1.0923),0.08829949498176574,0.10253825783729553
156000,tensor(1.0918),0.08779117787877719,0.11471587419509888
